group,function,value,sample_time_nanos,iteration_count
Send 1 packet,,,1003125.0,3640
Send 1 packet,,,2003208.0,7280
Send 1 packet,,,3115875.0,10920
Send 1 packet,,,3980250.0,14560
Send 1 packet,,,4841250.0,18200
Send 1 packet,,,5833583.0,21840
Send 1 packet,,,6653458.0,25480
Send 1 packet,,,7752000.0,29120
Send 1 packet,,,10212333.0,32760
Send 1 packet,,,12188916.0,36400
Send 1 packet,,,15808833.0,40040
Send 1 packet,,,12343583.0,43680
Send 1 packet,,,12898625.0,47320
Send 1 packet,,,13592458.0,50960
Send 1 packet,,,14737958.0,54600
Send 1 packet,,,15684541.0,58240
Send 1 packet,,,16465875.0,61880
Send 1 packet,,,17290041.0,65520
Send 1 packet,,,18545041.0,69160
Send 1 packet,,,19857250.0,72800
Send 1 packet,,,20719041.0,76440
Send 1 packet,,,21473833.0,80080
Send 1 packet,,,22068666.0,83720
Send 1 packet,,,23835958.0,87360
Send 1 packet,,,24219166.0,91000
Send 1 packet,,,25453208.0,94640
Send 1 packet,,,26660500.0,98280
Send 1 packet,,,27917458.0,101920
Send 1 packet,,,29259291.0,105560
Send 1 packet,,,29108375.0,109200
Send 1 packet,,,30219916.0,112840
Send 1 packet,,,31170541.0,116480
Send 1 packet,,,32136666.0,120120
Send 1 packet,,,33427750.0,123760
Send 1 packet,,,34189916.0,127400
Send 1 packet,,,35817791.0,131040
Send 1 packet,,,35856333.0,134680
Send 1 packet,,,37430750.0,138320
Send 1 packet,,,38081500.0,141960
Send 1 packet,,,38703583.0,145600
Send 1 packet,,,40200125.0,149240
Send 1 packet,,,42731708.0,152880
Send 1 packet,,,42639750.0,156520
Send 1 packet,,,43093750.0,160160
Send 1 packet,,,44046541.0,163800
Send 1 packet,,,45532291.0,167440
Send 1 packet,,,45931416.0,171080
Send 1 packet,,,47621500.0,174720
Send 1 packet,,,48836083.0,178360
Send 1 packet,,,49840541.0,182000
Send 1 packet,,,50198375.0,185640
Send 1 packet,,,50678208.0,189280
Send 1 packet,,,52527791.0,192920
Send 1 packet,,,52692916.0,196560
Send 1 packet,,,54190041.0,200200
Send 1 packet,,,54428541.0,203840
Send 1 packet,,,55857375.0,207480
Send 1 packet,,,57320500.0,211120
Send 1 packet,,,57212916.0,214760
Send 1 packet,,,57886875.0,218400
Send 1 packet,,,59290500.0,222040
Send 1 packet,,,60661625.0,225680
Send 1 packet,,,61726125.0,229320
Send 1 packet,,,62784875.0,232960
Send 1 packet,,,63827458.0,236600
Send 1 packet,,,64449625.0,240240
Send 1 packet,,,66031833.0,243880
Send 1 packet,,,66910416.0,247520
Send 1 packet,,,67837666.0,251160
Send 1 packet,,,69022916.0,254800
Send 1 packet,,,69350125.0,258440
Send 1 packet,,,70615041.0,262080
Send 1 packet,,,71594000.0,265720
Send 1 packet,,,72992541.0,269360
Send 1 packet,,,73423000.0,273000
Send 1 packet,,,74090958.0,276640
Send 1 packet,,,76054333.0,280280
Send 1 packet,,,76576416.0,283920
Send 1 packet,,,76728541.0,287560
Send 1 packet,,,78572291.0,291200
Send 1 packet,,,80479750.0,294840
Send 1 packet,,,80464708.0,298480
Send 1 packet,,,80352916.0,302120
Send 1 packet,,,82187541.0,305760
Send 1 packet,,,82851791.0,309400
Send 1 packet,,,83864125.0,313040
Send 1 packet,,,85490958.0,316680
Send 1 packet,,,85744291.0,320320
Send 1 packet,,,87934916.0,323960
Send 1 packet,,,90772916.0,327600
Send 1 packet,,,97530375.0,331240
Send 1 packet,,,90402208.0,334880
Send 1 packet,,,90375541.0,338520
Send 1 packet,,,90927833.0,342160
Send 1 packet,,,92108541.0,345800
Send 1 packet,,,94168208.0,349440
Send 1 packet,,,93795625.0,353080
Send 1 packet,,,95092625.0,356720
Send 1 packet,,,96182500.0,360360
Send 1 packet,,,96798916.0,364000
